class,feature,coef,abs_coef,importance
normal,num__tubesize,0.033876236807405695,0.033876236807405695,0.033876236807405695
normal,num__preop_cr,0.03379833003907072,0.03379833003907072,0.03379833003907072
normal,cat__cline2_Right subclavian,-0.030973184434984664,0.030973184434984664,0.030973184434984664
normal,num__intraop_vecu,0.029493984845580308,0.029493984845580308,0.029493984845580308
normal,num__rr_prev,-0.02764685626242889,0.02764685626242889,0.02764685626242889
normal,num__intraop_rocu,0.027634814157467866,0.027634814157467866,0.027634814157467866
normal,cat__dltubesize_Right-35,-0.025064503909433246,0.025064503909433246,0.025064503909433246
normal,num__asa,-0.023430010816072707,0.023430010816072707,0.023430010816072707
normal,num__intraop_ppf,0.022925720613471156,0.022925720613471156,0.022925720613471156
normal,cat__preop_pft_Normal,0.022864117848556586,0.022864117848556586,0.022864117848556586
normal,num__emop,0.01626136264576997,0.01626136264576997,0.01626136264576997
normal,cat__cline1_Right IJV,-0.015994221956153847,0.015994221956153847,0.015994221956153847
normal,num__preop_htn,-0.015755537257949287,0.015755537257949287,0.015755537257949287
normal,num__aneend,-0.01486572022490398,0.01486572022490398,0.01486572022490398
normal,cat__optype_Stomach,0.010845420769829528,0.010845420769829528,0.010845420769829528
normal,num__preop_gluc,-0.009786167885527278,0.009786167885527278,0.009786167885527278
normal,cat__cormack_IIIb,0.008547722322425854,0.008547722322425854,0.008547722322425854
normal,cat__preop_pft_Moderate obstructive,0.008288940765636264,0.008288940765636264,0.008288940765636264
normal,cat__aline1_Left radial,-0.007265025256438837,0.007265025256438837,0.007265025256438837
normal,cat__aline1_Right radial,-0.006653991211218735,0.006653991211218735,0.006653991211218735
normal,num__position_in_case,0.0048437074815240195,0.0048437074815240195,0.0048437074815240195
normal,num__preop_alb,-0.0038356652202696916,0.0038356652202696916,0.0038356652202696916
normal,cat__optype_Vascular,-0.0032099636983093736,0.0032099636983093736,0.0032099636983093736
normal,num__rr_next,0.0018909899362341382,0.0018909899362341382,0.0018909899362341382
normal,"cat__preop_ecg_Atrial fibrillation, Right bundle branch block",1.7743931358690172e-05,1.7743931358690172e-05,1.7743931358690172e-05
